combination_id,timestamp,use_ema,use_macd,use_rsi,use_bollinger,use_atr,use_momentum,use_sma,use_stochastic,use_adx,use_cci,use_williams,use_roc,use_obv,use_mfi,use_volatility,use_volume_features,use_returns,prediction_horizon,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,train_rmse,train_mae,train_r2,train_direction_acc,val_rmse,val_mae,val_r2,val_direction_acc,test_rmse,test_mae,test_r2,test_direction_acc,test_confidence_mean,combined_score
38,2025-12-30T09:02:06.226840,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0.03,45,4,100,3,0.95,0.92,0.05,0.15,0.004757365960730724,0.0037147011013634115,0.24746575638203416,0.7116868798235942,0.006225143220182321,0.004993491677885794,-0.2407176333694887,0.5013054830287206,0.006055616153440954,0.004874617913841425,-0.35510072071138943,0.46475195822454307,0.9819257608751193,0.5413036579288979
39,2025-12-30T09:02:06.584274,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.02,40,4,400,20,0.92,0.92,0.01,0.1,0.003400229080323424,0.0026450642153464433,0.6155768792477005,0.8291069459757442,0.006574650523602573,0.0053991864549006,-0.383947466588765,0.46475195822454307,0.006080604513195321,0.004897096284155208,-0.3663073785656652,0.4725848563968668,0.9454076305080332,0.5334957481163285
40,2025-12-30T09:02:07.553765,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.1,15,6,1200,50,0.65,0.7,0.05,0.0,0.0019761924898325255,0.0015732028577306071,0.8264758364955831,0.8683920704845814,0.005526427386865828,0.004507625942634462,-0.29135115365255637,0.4909090909090909,0.0051874184748192265,0.004180234314053408,-0.28670334271248854,0.4935064935064935,0.9258264483028815,0.5116809249683257
41,2025-12-30T09:02:07.831328,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.1,127,6,400,7,0.95,0.87,0.1,0.25,0.0032734816509009165,0.002545738275743074,0.6437023424677,0.834619625137817,0.006349759355097067,0.005133403603610033,-0.2908886805159978,0.4464751958224543,0.005487909008870812,0.004438344485465013,-0.11293218686187267,0.5013054830287206,0.8811055433520933,0.5041824259801503
42,2025-12-30T09:02:08.015086,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.015,25,2,250,50,0.75,0.82,0.0,0.05,0.004379662160509596,0.003482516226230996,0.14771922394536552,0.6674008810572687,0.005031741769702824,0.004118457692575004,-0.07051340147935581,0.5064935064935064,0.004761150157885752,0.0038334123966120614,-0.08392595919227053,0.5116883116883116,0.9261404995321831,0.4930728384695741
43,2025-12-30T09:02:08.269557,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.05,40,12,200,20,0.85,0.6,0.15,0.2,0.003778493501943177,0.002988583589713744,0.36563556040714373,0.7731277533039648,0.0050924543277247524,0.004169359781395246,-0.09650269647674015,0.4623376623376623,0.004596120972904635,0.0036918653786812044,-0.01008695539836757,0.5662337662337662,0.8511131841039548,0.4383623547391384
44,2025-12-30T09:02:08.630045,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.07,63,3,800,3,0.85,0.5,0.3,0.5,0.004541617015057483,0.003609149572017484,0.08352106540543669,0.6327092511013216,0.004922148100664923,0.004015764158794286,-0.024388684238245473,0.44155844155844154,0.004566863683814731,0.003692313318147978,0.0027318307579681234,0.5558441558441558,0.8230106282453109,0.44872270783965895
45,2025-12-30T09:02:09.006307,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.025,100,12,500,30,0.65,0.6,0.3,0.25,0.0052243045772583695,0.004122869064597756,0.09249271055551977,0.6411245865490628,0.00569360835880069,0.004628075712125373,-0.037885489571398034,0.4464751958224543,0.00519852726953343,0.004237308047945885,0.0013448370911970375,0.5195822454308094,0.7898281548301349,0.48561628183872396
46,2025-12-30T09:02:09.202943,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.05,45,10,250,50,0.7,0.5,0.25,1.0,0.005065167422724504,0.004000063575865836,0.14693768814616714,0.6609702315325248,0.00569631688396194,0.0046304893995534535,-0.03887319628878605,0.42036553524804177,0.005200503176597251,0.004237227038217177,0.0005855355835122644,0.5248041775456919,0.8514318657402499,0.4803963256309054
47,2025-12-30T09:02:09.464378,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.008,45,3,150,18,0.8,0.65,0.3,0.4,0.005340619573627935,0.004213062780447683,0.051633004286448236,0.6207276736493936,0.005645456385962229,0.004578866501315133,-0.020404517465074656,0.4699738903394256,0.005189215672369189,0.004212568061330728,0.004919213392198585,0.5352480417754569,0.7033711743304545,0.46994117389691226
48,2025-12-30T09:02:10.034828,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.02,63,12,400,3,0.7,0.9,0.15,0.15,0.003908732686393854,0.0030893517516494486,0.3211506419898412,0.7599118942731278,0.005003469347510503,0.004100504006203249,-0.058517166896691286,0.44935064935064933,0.004594338094058826,0.00369909130350391,-0.009303462801031115,0.5662337662337662,0.8014500302837283,0.43836057186029265
49,2025-12-30T09:02:10.368653,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.015,15,9,300,40,0.95,0.95,0.1,0.2,0.004089317331454202,0.0032195847160168016,0.4439744201666632,0.7883131201764058,0.005895952579953054,0.00479890313632351,-0.11296683535524066,0.46736292428198434,0.005366555521222538,0.00437178409372802,-0.06425611038582635,0.47780678851174935,0.8429705687327695,0.5275597670094732
50,2025-12-30T09:02:10.988465,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0.15,31,4,500,20,0.7,1.0,0.01,0.6,0.0014680188214569183,0.0011392079818782382,0.9283433678158066,0.9195148842337376,0.007778046394238944,0.006333843033870712,-0.9369362092990114,0.5195822454308094,0.007999544551260859,0.0064165664673819876,-1.3647510203274558,0.4699738903394256,0.9859040356152136,0.5380256542118352
51,2025-12-30T09:02:11.306035,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.008,15,9,200,40,0.9,0.82,0.4,0.1,0.005359533214612526,0.004234620525735079,0.04490388440493864,0.5898566703417861,0.0056112299960450395,0.004552607615778171,-0.008069325298914354,0.4595300261096606,0.005209090938870265,0.004235496949131912,-0.0027179217999506733,0.4908616187989556,0.6173344041845213,0.5143474721399146
52,2025-12-30T09:02:11.537488,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.025,60,6,100,30,0.9,0.5,0.01,1.0,0.003476656289332479,0.0027492014928376706,0.4629373068810171,0.8045154185022027,0.005277487070075507,0.004296524351047241,-0.17763247797326698,0.4805194805194805,0.004896598732960647,0.003930520825503427,-0.14647580020613304,0.535064935064935,0.943948360820994,0.46983166366802565
53,2025-12-30T09:02:11.750862,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.04,50,6,100,50,0.82,0.75,0.15,0.7,0.004599993987296707,0.003621029084922546,0.29642941620034857,0.743109151047409,0.005805527670155313,0.004721050563283223,-0.07908997549491747,0.4751958224543081,0.005218882396694865,0.004237272070249806,-0.006491055271244939,0.5483028720626631,0.86072988591111,0.45691601033403173
54,2025-12-30T09:02:12.105556,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.05,25,6,400,25,1.0,0.95,0.1,0.0,0.0036438457984458482,0.002864013405831858,0.5585178737987178,0.8037486218302095,0.006044549517500941,0.004899098489253666,-0.1697744701606656,0.4830287206266319,0.005504067372427713,0.004475001646408813,-0.11949557458807569,0.4490861618798956,0.8665378501491638,0.5564179054925321
55,2025-12-30T09:02:12.967632,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.01,35,12,800,12,0.82,0.7,0.0,1.0,0.0015386485628012443,0.0012195221542963888,0.921282368854206,0.9211686879823594,0.006750158957599805,0.005529199598003351,-0.45882184995800146,0.46475195822454307,0.006567907437575502,0.005312604393848554,-0.5940757160114474,0.4804177545691906,0.9652041944891752,0.526150152868385
